run	subrun	event	n_nu	inu	nu_pdg	ccnc	mode	interaction_type	E_nu_MeV	vtx_x_cm	vtx_y_cm	vtx_z_cm	t_ns	lepton_pdg	target_pdg	n_genie_particles	in_active_tpc
711	90	30	1	0	14	0	1	1003	989.88	18.43	53.99	21.55	894.3	13	1000180400	12	1
711	90	32	1	0	14	0	1	1003	1298.32	67.45	-201.84	75.72	310.2	13	1000180400	11	0
711	90	35	3	0	14	0	1	1000	3619.55	341.68	151.21	1321.54	729.9	13	1000200400	22	0
711	90	35	3	1	14	1	0	1002	544.64	-111.13	-196.61	-357.15	1431.8	14	1000140280	9	0
711	90	35	3	2	14	1	1	1008	635.61	-60.73	95.17	400.41	717.4	14	1000180400	49	1
711	90	36	4	0	14	0	0	1001	917.22	217.25	149.67	595.66	723.1	13	1000180400	8	0
711	90	36	4	1	14	0	0	1001	1488.09	-65.65	115.58	-306.59	902.7	13	1000140280	8	0
711	90	36	4	2	14	0	1	1004	1554.42	222.09	40.76	404.99	1305.2	13	1000180400	12	0
711	90	36	4	3	14	0	0	1001	1184.06	349.32	-580.32	459.60	133.2	13	1000110230	8	0
711	90	38	3	0	14	1	0	1002	345.14	487.57	404.45	578.85	741.2	14	1000080160	9	0
711	90	38	3	1	14	1	0	1002	610.36	229.09	490.72	-298.34	1226.9	14	1000260560	11	0
711	90	38	3	2	14	0	0	1001	886.73	221.94	78.26	13.04	1556.3	13	1000180400	9	0
711	90	39	1	0	14	0	2	1091	3763.89	-26.02	-142.54	-301.28	484.6	13	1000140280	24	0
711	90	40	1	0	14	0	1	1004	720.65	-84.88	254.79	997.25	776.6	13	1000080160	13	0
711	90	41	1	0	14	0	1	1004	1598.06	-190.81	-216.60	508.77	643.3	13	1000180400	20	0
711	90	43	2	0	14	1	10	1000	443.93	-554.41	-371.01	220.47	1375.9	14	1000080160	11	0
711	90	43	2	1	14	0	1	1003	465.90	-151.95	-55.72	-293.05	635.9	13	1000200400	12	0
711	90	44	1	0	14	1	0	1002	555.37	213.12	176.44	384.87	223.9	14	1000180400	10	0
711	90	49	1	0	14	1	0	1002	678.33	-166.20	31.92	-24.74	986.1	14	1000180400	10	0
715	59	1	2	0	14	0	1	1000	3149.62	-488.86	116.21	12.60	1215.8	13	1000080160	14	0
715	59	1	2	1	14	0	1	1005	1163.18	278.85	224.06	143.83	385.7	13	1000060120	19	0
715	59	3	2	0	14	1	1	1006	1699.37	180.11	83.77	25.20	1159.8	14	1000180400	14	1
715	59	3	2	1	14	0	0	1001	1048.57	-149.14	-200.92	992.72	1494.9	13	1000140280	8	0
715	59	5	2	0	14	0	1	1003	991.48	10.23	39.52	-113.52	889.2	13	1000060120	12	0
715	59	5	2	1	14	0	0	1001	837.29	-498.02	53.25	309.54	200.7	13	1000080160	15	0
715	59	6	1	0	14	0	0	1001	612.12	-67.20	-252.56	416.49	184.3	13	1000180400	9	0
715	59	7	2	0	14	0	0	1001	677.89	-165.08	-167.97	206.54	180.5	13	1000180400	9	1
715	59	7	2	1	14	0	0	1001	242.55	-607.23	-580.80	-400.23	558.1	13	1000140280	9	0
715	59	9	2	0	14	0	1	1004	1136.02	-53.03	-251.21	5.99	1536.9	13	1000180400	14	0
715	59	9	2	1	14	0	0	1001	2083.52	504.47	240.27	953.47	1134.6	13	1000080160	8	0
715	59	14	2	0	14	0	0	1001	2603.79	122.88	-13.66	-540.38	684.8	13	1000080160	8	0
715	59	14	2	1	14	1	1	1007	481.22	-570.93	356.57	483.45	1193.9	14	1000200400	46	0
715	59	28	1	0	14	0	10	1000	1331.36	151.53	-253.67	449.22	966.4	13	1000180400	14	0
715	59	31	2	0	14	1	10	1000	822.77	86.96	146.29	-327.67	352.0	14	1000140280	11	0
715	59	31	2	1	14	0	1	1000	1701.41	33.23	43.90	170.52	200.5	13	1000180400	16	1
715	59	40	1	0	14	0	2	1091	2261.39	-79.10	351.47	-131.56	946.4	13	1000240520	14	0
715	59	47	1	0	14	0	0	1001	459.17	229.58	193.01	197.56	144.0	13	1000180400	10	0
715	59	50	2	0	14	0	0	1001	552.17	-185.35	80.25	544.50	325.0	13	1000180400	9	0
715	59	50	2	1	14	0	10	1000	476.26	-687.72	574.59	-105.43	1004.7	13	1000200400	12	0
